voting_ID	date	time	title
1419509260	 25.12.2014	12:07:40	Поіменне голосування  про повернення на доопрацювання суб'єкту права законодавчої ініціативи проекту Закону про внесення змін та визнання такими, що втратили чинність, деяких законодавчих актів України (№1577)
1419509329	 25.12.2014	12:08:49	Поіменне голосування  про повернення на доопрацювання суб'єкту права законодавчої ініціативи проекту Закону про внесення змін та визнання такими, що втратили чинність, деяких законодавчих актів України (№1577)
1419509902	 25.12.2014	12:18:22	Поіменне голосування  про повернення на доопрацювання суб'єкту права законодавчої ініціативи проекту Закону про внесення змін та визнання такими, що втратили чинність, деяких законодавчих актів України (№1577)
1419514386	 25.12.2014	13:33:06	Поіменне голосування  про проект Закону про внесення змін до Податкового кодексу України та деяких законів України (щодо податкової реформи) (№1578) - за основу
1419514438	 25.12.2014	13:33:58	Поіменне голосування  про проект Закону про внесення змін до Податкового кодексу України та деяких законів України (щодо податкової реформи) (№1578) - за основу (з урахуванням пропозицій Комітету)
1419515673	 25.12.2014	13:54:33	Поіменне голосування  про проект Закону про внесення змін до Податкового кодексу України щодо удосконалення податкового контролю за трансфертним ціноутворенням (№1264-1) - за основу
1419515706	 25.12.2014	13:55:06	Поіменне голосування  про проект Закону про внесення змін до Податкового кодексу України щодо удосконалення податкового контролю за трансфертним ціноутворенням (№1264-1) -  за основу (з урахуванням пропозицій Комітету)
1419515743	 25.12.2014	13:55:43	Поіменне голосування  про продовження ранкового пленарного засідання до завершення розгляду питань порядку денного
1419516395	 25.12.2014	14:06:35	Поіменне голосування  про проект Закону про заходи щодо стабілізації платіжного балансу України відповідно до статті ХІІ Генеральної угоди про тарифи й торгівлю 1994 року (№1562) - за основу
1419516664	 25.12.2014	14:11:04	Поіменне голосування про повернення до розгляду  проекту Закону про заходи щодо стабілізації платіжного балансу України відповідно до статті ХІІ Генеральної угоди про тарифи й торгівлю 1994 року (№1562) 
